140;THPT Lê Văn Thiêm;1;Hà Nội;Số 44 phố Ô Cách, phường Đức Giang, quận Long Biên, TP Hà Nội;3
141;THPT Tây Sơn;1;Hà Nội;Số 2/167 Gia Quất, phường Thượng Thanh, quận Long Biên, TP Hà Nội;3
142;THPT Vạn Xuân-Long Biên;1;Hà Nội;Số 56 Hoàng Như Tiếp, phường Bồ Đề, quận Long Biên, TP Hà Nội;3
143;THPT Wellspring-Mùa Xuân;1;Hà Nội;Số 95 Phố Ái Mộ, phường Bồ Đề, quận Long Biên, TP Hà Nội;3
144;TH,THCS&THPT Vinschool The Harmony;1;Hà Nội;Đường Chu Huy Mân, phường Phúc Đồng, quận Long Biên, TP Hà Nội;3
145;GDNN-GDTX quận Long Biên;1;Hà Nội;Ngõ 161 phố Hoa Lâm, phường Việt Hưng, quận Long Biên, TP Hà Nội;3
146;GDTX Việt Hưng;1;Hà Nội;Ngách 161 Hoa Lâm, phường Việt Hưng, quận Long Biên, TP Hà Nội;3
147;Trung cấp Quang Trung;1;Hà Nội;Tổ 14 phường Phúc Đồng, quận Long Biên, TP Hà Nội;3
148;CĐ nghề đường sắt I;1;Hà Nội;Phường Thượng Thanh, Quận Long Biên, TP Hà Nội;3
149;CĐ nghề Long Biên;1;Hà Nội;2/765 đường Nguyễn Văn Linh, Phường Sài Đồng, Quận Long Biên, TP Hà Nội;3
150;THPT Nguyễn Thị Minh Khai;1;Hà Nội;Đường Võ Quý Huân, phường Phúc Diễn, quận Bắc Từ Liêm, TP Hà Nội;3
151;THPT Thượng Cát;1;Hà Nội;Đường Sùng Khang, phường Thượng Cát, quận Bắc Từ Liêm, TP Hà Nội;3
152;THPT Xuân Đỉnh;1;Hà Nội;Số 178, đường Xuân Đỉnh, phường Xuân Đỉnh, quận Bắc Từ Liêm, TP Hà Nội;3
153;THPT Khoa học Giáo dục;1;Hà Nội;Phố Kiều Mai, phường Phúc Diễn, quận Bắc Từ Liêm, TP Hà Nội;3
319;GDTX Đan Phượng;1;Hà Nội;Thị trấn Phùng, huyện Đan Phượng, TP Hà Nội;2
154;THPT Đoàn Thị Điểm;1;Hà Nội;Khu ĐT Bắc Cổ Nhuế, phường Cổ Nhuế 2, quận Bắc Từ Liêm, TP Hà Nội;3
155;THCS&THPT Hà Thành;1;Hà Nội;Số 36A Phạm Văn Đồng, phường Cổ Nhuế 1, quận Bắc Từ Liêm, TP Hà Nội;3
156;THCS&THPT Newton;1;Hà Nội;Khu dự án TNR Gold Mark City, phường Phú Diễn, quận Bắc Từ Liêm, TP Hà Nội;3
157;THPT Tây Đô;1;Hà Nội;Đường Phú Minh tổ dân phố Phúc Lý 2, phường Minh Khai, quận Bắc Từ Liêm, TP Hà Nội;3
